page,title,category,id,url,day,cover_url,short_text
1,Odd Realm,,266192,https://unknownorigingames.itch.io/oddrealm,1,https://img.itch.zone/aW1nLzI0ODc3NTAucG5n/315x250%23c/uG71dq.png,Take control of a group of settlers to build a settlement that survives the passing seasons.
52,Pillars of Dust,,665108,https://chet-stead.itch.io/pillars-of-dust,2,https://img.itch.zone/aW1nLzM3NTUzOTgucG5n/315x250%23c/a4LJ2D.png,A lighthearted retro RPG with two intertwining storylines
25,Outpost Horizon Station,,307422,https://oldmanofthefire.itch.io/outpost-horizon-station,3,https://img.itch.zone/aW1hZ2UvMzA3NDIyLzE1MTA5OTMucG5n/315x250%23c/CI3Sf4.png,Bullet-hell platformer on a rotating 360° platform
43,Theorem,,251119,https://geckoo1337.itch.io/theorem,4,https://img.itch.zone/aW1hZ2UvMjUxMTE5LzEyMDAzOTUucG5n/315x250%23c/itYcuh.png,Minimalist puzzle game
6,nullpointer,,126098,https://prophetgoddess.itch.io/nullpointer,5,https://img.itch.zone/aW1hZ2UvMTI2MDk4Lzc3OTE0Ni5naWY=/315x250%23c/N%2FAv0K.gif,first-person cyberpunk arcade action
30,MicroHorrorArcade Trilogy I - Andy's Story,,553439,https://microhorrorarcade.itch.io/microhorrorarcade-trilogy-i,6,https://img.itch.zone/aW1nLzI4OTg5ODgucG5n/315x250%23c/7JTcsk.png,Three goofy horror games about a guy named Andy
17,Hero Generations,,61849,https://heartshapedgames.itch.io/hero-generations,7,https://img.itch.zone/aW1hZ2UvNjE4NDkvMjc5NjgyLnBuZw==/315x250%23c/AZZoc8.png,"If every step was one year of your life, which path would you take?"
53,Run Jump Fail,,286436,https://lukeoc.itch.io/run-jump-fail,8,https://img.itch.zone/aW1hZ2UvMjg2NDM2LzEzOTQ5NDMucG5n/315x250%23c/VvY%2B%2FL.png,"Totally accurate running, jumping, and failing simulator"
26,J.U.L.I.A.: Among the Stars,,665340,https://cbesoftware.itch.io/julia-among-the-stars,9,https://img.itch.zone/aW1nLzM2MDE0ODEucG5n/315x250%23c/C5V71Z.png,an innovative narrative driven sci-fi adventure game.
24,Super Bernie World,,583682,https://eniko.itch.io/superbernieworld,10,https://img.itch.zone/aW1nLzMwODEyNjkucG5n/315x250%23c/A1ivx7.png,Join Bernie's movement and transform the United States in this free retro 2D platformer.
9,[Speer],,153813,https://ohsat-andrej.itch.io/speer,11,https://img.itch.zone/aW1nLzIyMTAxNTkucG5n/315x250%23c/c7cQVY.png,Use your Speer as a platform!
56,Super Crome: Bullet Purgatory,,234523,https://stumpheadgames.itch.io/super-crome,12,https://img.itch.zone/aW1nLzI3OTY1OTUucG5n/315x250%23c/bKoV%2B3.png,Bullet Purgatory
17,This Strange Realm Of Mine,,170081,https://doomgriever.itch.io/this-strange-realm-of-mine,13,https://img.itch.zone/aW1nLzIzMzcyNjEucG5n/315x250%23c/bwbHiO.png,First Person Shooter mixed with Poetry and Psychological-Horror
15,Can Androids Pray: Red,,420757,https://scarletcatalie.itch.io/can-androids-pray-red,14,https://img.itch.zone/aW1nLzIyNjM5MzQucG5n/315x250%23c/LmqJDv.png,Angry femme mech pilots at the end of the world.
8,MIDNIGHT ULTRA,,189879,https://forwardinstinct.itch.io/midnight-ultra,15,https://img.itch.zone/aW1hZ2UvMTg5ODc5Lzg4ODQyMi5qcGc=/315x250%23c/3Oo3sw.jpg,"Blast your way through a neon-dripped, pixelated nightmare in this high-speed, high-thrills FPS set in the Southwest."
51,Enc and the Flying Machine,,398536,https://tangledvirus.itch.io/enc-and-the-flying-machine,16,https://img.itch.zone/aW1nLzE5NzQ3NzUucG5n/315x250%23c/oNvDbJ.png,Help a mushroom girl to fly!
56,mMcFabs's Texture to SkyBox Converter,Tool,262401,https://maddestudios.itch.io/mms-skybox-generator,17,https://img.itch.zone/aW1hZ2UvMjYyNDAxLzEyNjE2OTMuZ2lm/315x250%23c/IIUQrl.gif,Convert flat horizontal tiling textures to convincing skyboxes with relative ease!
6,if not us,,205734,https://ub4q.itch.io/ifnotus,18,https://img.itch.zone/aW1hZ2UvMjA1NzM0Lzk3NjM1OS5qcGc=/315x250%23c/OZDZfS.jpg,an IF anthology about five heroes who die
22,Dwerg Saga,,482749,https://haikuinteractive.itch.io/dwerg-saga,19,https://img.itch.zone/aW1nLzM3MjQ5OTMuanBn/315x250%23c/LiK56F.jpg,Play. Build. Know Yourself.
16,Luminous,,254875,https://kieran-sheldon.itch.io/luminous,20,https://img.itch.zone/aW1hZ2UvMjU0ODc1LzEyMjQ4OTkucG5n/315x250%23c/39M%2FZR.png,Can you bear the weight of your destiny?
4,Quadrilateral Cowboy,,444701,https://blendogames.itch.io/quadrilateralcowboy,21,https://img.itch.zone/aW1nLzIyNDE2MTAucG5n/315x250%23c/0Uq3ny.png,Twentieth-century Cyberpunk
57,Space Hole 2016,,49028,https://zimmbous.itch.io/spacehole2016,22,https://img.itch.zone/aW1hZ2UvNDkwMjgvMjE0MjE1LnBuZw==/315x250%23c/N2x529.png,You gotta go in the Space Hole
21,ZEPTON,,126647,https://chiptune.itch.io/zepton,23,https://img.itch.zone/aW1hZ2UvMTI2NjQ3LzU4NDMzNS5naWY=/315x250%23c/Vpupfv.gif,a pico-8 voxel shmup
14,STARDROP,,64174,https://joure.itch.io/stardrop,24,https://img.itch.zone/aW1hZ2UvNjQxNzQvMTE1MTc5MS5wbmc=/315x250%23c/kF0RWk.png,STARDROP - Salvage and Rescue Operations
57,Engineer Arena,,458874,https://waveparadigm.itch.io/engineer-arena,25,https://img.itch.zone/aW1nLzIzMzMzOTMucG5n/315x250%23c/8det0s.png,Upgrade on the fly in this local split-screen FPS!
13,The Adventures of Elena Temple: Definitive Edition,,198376,https://grimtalin.itch.io/the-adventures-of-elena-temple,26,https://img.itch.zone/aW1nLzI3NTIzMzMucG5n/315x250%23c/gqg0au.png,Play the classic platformer you never knew existed!
